,# of seed,Grams,100 SEED WEIGHT,Height/ length 2013 inches,Length (cm),# of branches 2013,"Strength of base; Weak=1, very strong=4, 2013","Erectness, Fallen=1, erect=4. 2013",width of stem at base (thick or thin)=2013,"early flower, late flower, or indeterminate 2013","Bifurcation (1=no, 2=yes) 2013",White flower 2013,Afila 2013,germination 2013 %,Runt?,Does it look like a good variety,overall rating
Delta,-,-,-,-,,-,-,-,-,-,-,A,A,,,,
Rer,-,-,-,-,,-,-,-,-,-,-,B,B,,,,
48,-,-,-,21,53.34,4,1,2,2.5,2,1,A,B,60,,1,6.5
49,-,-,-,12,30.48,4,1,1,2,1,1,A,A,20,,1,5
50,-,-,-,12,30.48,4,3,1,2.5,1,1,A,B,60,,1,7.5
51,76,10.873,14.30657895,12,30.48,3,3,2,1,2,1,A,B,60,,1,7
52,-,-,-,6,,1,1,1,1,1,1,B,B,100,yes,1,4
53,-,-,-,18,45.72,1,3,2,1,1,1,A,B,100,,1,7
54,-,-,-,18,45.72,1,1,1,1,1,1,A,A,100,,1,4
55,-,-,-,30,76.2,3,2,1,1,1,1,A,B,80,,1,5
56,29,3.298,11.37241379,18,45.72,2,2,1,2.5,1,1,A,B,60,,1,6.5
57,132,16.078,12.18030303,27,68.58,2,3,1,1,1,1,B,B,80,,1,6
58,47,8.077,17.18510638,30,76.2,3,3,1,1,1,1,B,A,100,,1,6
59,-,-,-,15,38.1,2,3,3,3,1,2,A,B,80,,1,10
60,86,12.565,14.61046512,16,40.64,5,3,2.5,2.5,2,2,A,B,100,,1,9
61,87,8.133,9.348275862,15,38.1,7,1,4,2,2,2,B,B,100,,2,9
62,-,-,-,20,50.8,2,3,1,1,1,1,B,B,100,,1,6
63,66,7.706,11.67575758,12,30.48,4,3,4,1,2,1,B,A,100,,1,9
64,-,-,-,18,45.72,3,1,2,2,2,1,B,A,100,,1,6
65,82,10.909,13.30365854,33,83.82,5,1,3,3,2,1,B,A,100,,1,8
66,69,7.09,10.27536232,12,,4,2,3,3,2,1,A,B,100,yes,1,9
67,-,-,-,13,33.02,3,3,1,1,1,1,B,A,60,,1,6
68,-,-,-,33,83.82,2,3,2,2.5,2,2,B,A,100,,2.5,10
69,26,4.543,17.47307692,24,60.96,3,1,2,1,1,1,B,A,80,,1,5
70,65,8.437,12.98,15,38.1,8,3,3,2,2,1,A,A,80,,1,9
71,-,-,-,30,76.2,3,1,1,1,1,1,B,A,80,,1,4
72,-,-,-,30,76.2,3,1,2,1,-,1,B,B,100,,1,5
73,-,-,-,12,30.48,3,3,1,1,1,1,B,B,60,,1,6
74,-,-,-,24,60.96,1,1,2,1,2,1,B,A,100,,1,5
75,114,15.414,13.52105263,20,50.8,4,2,2,2,2,1,B,B,60,,1,7
76,80,13.101,16.37625,30,76.2,2,1,1,2,1,1,B,B,80,,1,5
77,70,11.742,16.77428571,12,30.48,2,3,1,-,1,1,-,B,100,,1,5
78,54,8.153,15.09814815,16,40.64,3,1,1,-,2,1,A,B,80,,1,3
79,105,16.998,16.18857143,24,60.96,4,3,3,2,1,1,B,A,100,,1,9
80,-,-,-,36,91.44,4,2,2,1,2,2,A,A,100,,2,7
81,-,-,-,20,50.8,3,1,1,2,2,1,A,B,100,,1,5
82,69,6.55,9.492753623,30,76.2,3,1,1,2,2,2,B,A,60,,1,5
83,-,-,-,15,38.1,3,3,3,2,2,2,A,B,100,,1,9
84,-,-,-,36,91.44,3,3,2,2.5,2,1,B,A,80,,1,8.5
85,-,-,-,18,45.72,4,3,2,1,2,1,A,B,100,,1,7
86,-,-,-,16,40.64,6,1,3,1,2,1,B,B,100,,1,6
87,-,-,-,18,45.72,5,3,2,2,2,1,A,B,100,,1,8
88,190,28.303,14.89631579,21,53.34,7,3,4,2,2,1,B,B,100,,2,11
89,-,-,-,30,76.2,2,2,2,3,2,1,B,B,100,,2,9
90,93,14.155,15.22043011,15,38.1,5,3,1,1,1,1,B,B,100,,1,6
91,-,-,-,33,83.82,4,3,1,1,1,1,B,B,100,,1,6
92,-,-,-,27,68.58,7,2,3,2,2,1,B,B,80,,1,8
93,127,17.293,13.61653543,30,76.2,6,2,1,1,2,1,B,B,80,,1,5
94,78,7.552,9.682051282,15,38.1,5,2,1,1,1,1,B,A,100,,1,5
95,-,-,-,30,76.2,7,3,2,1,2,1,B,B,80,,1,7
96,-,-,-,36,91.44,7,2,1,1,1,1,B,B,100,,1,5
97,-,-,-,19,48.26,8,4,4,2,2,1,B,B,60,,2,12
98,-,-,-,14,35.56,4,2,3.5,2,2,1,B,A,80,,1,8.5
99,44,6.747,15.33409091,26,66.04,2,1,1,1,2,1,B,A,100,,1,4
100,205,25.923,12.64536585,30,76.2,5,3,1,1,2,1,B,B,60,,1,6
101,-,-,-,16,40.64,6,3,2,1,2,1,B,A,80,,1,7
102,104,10.689,10.27788462,14,35.56,4,3,1,2,2,1,B,B,100,,1,7
103,160,20.602,12.87625,30,76.2,6,1,1,1,2,1,B,A,100,,1,4
104,-,-,-,15,38.1,5,1,1,2,2,1,A,A,100,,1,5
105,69,10.202,14.78550725,12,30.48,6,2,1,3,1,1,B,B,100,,1,7
106,42,5.792,13.79047619,36,91.44,2,1,1,1,2,1,B,A,100,,1,4
107,-,-,-,12,30.48,4,2,1,2,1,1,A,B,100,,1,6
108,-,-,-,27,68.58,6,2,0,2,1,1,B,B,60,,1,5
109,-,-,-,24,60.96,3,3,3,4,2,2,A,B,80,,4,
110,-,-,-,24,60.96,3,2,1,1,2,1,B,B,100,,1,5
111,-,-,-,36,91.44,6,3,1,2,2,1,B,B,80,,1,7
112,-,-,-,25,63.5,4,2,1,1,2,1,B,A,60,,1,5
113,46,6.02,13.08695652,15,38.1,5,3,1,2,2,1,A,A,100,,1,7
114,-,-,-,15,38.1,4,3,1,2,2,1,B,B,80,,1,7
115,-,-,-,16,40.64,4,1,1,1,1,1,B,B,100,,1,4
116,-,-,-,18,45.72,4,2.5,1.5,4,2,1,B,B,60,,1,9
117,-,-,-,12,,3,2,1,1,1,1,B,A,60,yes,1,5
118,-,-,-,36,91.44,5,3,2,2,2,1,A,B,100,,2,9
119,-,-,-,12,30.48,4,2,3,1,1,1,A,B,100,,1,7
120,-,-,-,16,40.64,5,3,1,1,1,1,B,B,100,,1,6
121,-,-,-,30,76.2,3,3,2,2,2,1,B,B,60,,1,8
122,-,-,-,30,76.2,2,3,1,2,2,1,B,B,40,,1,7
123,-,-,-,18,45.72,3,3,3,2.5,2,1,B,B,60,,2,10.5
124,-,-,-,30,76.2,6,3,1,2,2,2,B,B,100,,1,7
125,-,-,-,30,76.2,8,3,2,1,2,1,B,A,100,,1,7
126,-,-,-,30,76.2,2,2,3,1,2,1,A,A,80,,1,7
127,-,-,-,15,38.1,5,2,3,1,2,1,A,A,100,,2,8
128,-,-,-,24,60.96,5,3,2,1,2,1,B,B,60,,1,7
129,-,-,-,30,76.2,4,3,2,1,2,1,B,A,80,,1,7
130,-,-,-,30,,1,1,1,1,2,1,B,B,80,yes,1,4
131,149,19.904,13.35838926,18,45.72,7,3,4,1.5,2,1,B,A,80,,2,10.5
132,-,-,-,21,53.34,2,1,2,1,2,1,B,A,100,,1,5
133,-,-,-,21,53.34,2,1,1,1,2,1,B,A,80,,1,4
134,-,-,-,21,53.34,6,1,2,1,2,1,A,A,100,,1,5
135,-,-,-,17,43.18,4,3,1,1.5,1,1,B,B,100,,1,6.5
136,-,-,-,9,,3,3,1,3,1,1,B,B,20,yes,1,8
137,-,-,-,14,35.56,4,1,1,2,1,1,B,B,20,,1,5
138,-,-,-,30,76.2,3,3,2,1,2,1,A,A,80,,1,7
139,-,-,-,21,53.34,7,3,1,1,1,1,B,B,60,,1,6
140,-,-,-,18,45.72,2,1,1,1,2,1,B,A,80,yes,1,4
141,-,-,-,30,76.2,4,2,1,1,2,2,A,B,40,,1,5
142,-,-,-,12,30.48,3,3,1,2,1,1,B,B,80,,1,7
143,-,-,-,30,76.2,5,2,1,1,2,1,A,A,100,,1,5
144,-,-,-,40,101.6,7,3,2,1,2,1,B,B,100,,1,7
145,215,26.513,12.33162791,18,45.72,7,4,3.5,2,2,1,A,B,80,,1,10.5
146,-,-,-,33,83.82,6,3,3,2,2,1,A,B,100,,2,10
147,-,-,-,36,91.44,7,2,2,1.5,2,1,B,B,80,,1,6.5
148,-,-,-,30,76.2,3,3,1,1,1,1,B,A,80,,1,6
149,-,-,-,15,38.1,6,3,3,2,1,1,B,B,80,,1,9
150,-,-,-,27,68.58,4,3,2,1,2,1,B,B,80,,1,7
151,-,-,-,36,91.44,5,3,1,1,1,1,B,B,80,,1,6
152,-,-,-,22,55.88,1,1,1,2,2,1,B,B,100,,1,5
153,-,-,-,36,91.44,2,1,1,1,2,1,B,B,60,,1,4
154,-,-,-,16,40.64,4,3,1,1,-,1,A,B,80,,1,6
155,164,21.915,13.36280488,16,40.64,9,3,4,2.5,2,1,B,A,100,,1,10.5
156,-,-,-,18,45.72,3,3,1,1,1,1,B,B,100,,1,6
157,-,-,-,24,60.96,2,2,1,2.5,2,1,B,B,100,,1,6.5
158,-,-,-,18,45.72,3,2,1,1,1,1,-,B,80,,1,5
159,-,-,-,9,,1,2,1,1,1,1,-,A,100,yes,1,5
160,120,13.948,11.62333333,17,43.18,6,3,4,1,2,1,A,B,100,,1,9
161,-,-,-,30,76.2,5,2,1,2,2,1,A,A,100,,1,6
162,-,-,-,12,30.48,3,1,2,2,2,1,B,B,80,,1,6
163,-,-,-,15,38.1,3,2,1,1,1,1,B,A,100,,1,5
164,-,-,-,12,30.48,4,3,1,2,1,1,B,B,100,,1,7
165,-,-,-,16,40.64,4,1,1,1,2,1,B,B,100,,1,4
166,-,-,-,13,33.02,2,1,1,1,2,1,A,B,100,,1,4
167,-,-,-,33,83.82,2,1,1,1,1,1,A,B,100,,1,4
168,-,-,-,27,68.58,2,1,1,1,2,1,B,B,80,,1,4
169,-,-,-,24,60.96,6,3,1,1,2,1,B,A,80,,1,6
170,-,-,-,30,76.2,5,2,1,1,2,1,B,B,80,,1,5
171,-,-,-,10,25.4,5,3,1,1,2,1,B,B,100,,1,6
172,-,-,-,36,91.44,4,2,1,1,2,1,A,A,80,,1,5
173,-,-,-,27,68.58,5,3,2,1,2,1,A,B,100,,1,7
174,-,-,-,30,76.2,3,2,1,1,1,1,B,B,60,,1,5
175,-,-,-,16,40.64,1,1,1,1,2,1,A,B,80,,1,4
176,-,-,-,16,40.64,3,3,1,2,1,1,A,B,80,,1,7
