DNA GENERATION,LINE #,Germination 2014NACHECKED,Germination 2014 %,branch numb.2014,"stand good?1=Y. 2=bad sample, do not use lines labeled 2",Height,length,prcnt lodging bad germ lines includedNAchecked,Prcnt.Lodging,flowering time 2014,tendril length 14 node 2014,tendril length 2014,Nodes 1st flow 2014,max nodes 2014,internode length 2014,Total yield 2014,Avg.Yld.Plant 2014,Main stm.diameter 2014,Average compressed main stem thickness 2014,Tiller diameter 2014,compressed tiller thickness 2014,"white flower, 1 is white",black hilum delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late,length,tall/dwf based on grnhouse data+ field 2014 ,Afila 1=YES=DELTA=A
F6,55,9,90,4.75,1,21.33333333,49.66666667,57.04697987,57.04697987,2,16.5,18,20,22,2.257575758,66.217,7.357444444,2.293333333,0.886666667,3.07,0.948,B,B,A,B,A,49.66666667,A,B
F7,56,5,50,1.66,1,22,84,73.80952381,73.80952381,2,19.5,20.5,9,15.5,5.419354839,50.025,10.005,2.572,1.198,3.096666667,1.056666667,A,A,B,B,A,84,B,B
F5,57,8,80,2.75,1,25.5,48,46.875,46.875,1,17.75,21,17,23,2.086956522,66.148,8.2685,2.23625,1.17375,2.752,0.816,B,A,A,A,A,48,A,B
F6,58,3,30,2.66,2,28,75,62.66666667,NA,2,22,22,16,23,3.260869565,39.289,13.09633333,2.29,1.106666667,2.89,0.77,A,A,A,B,A,75,B,A
F6,59,7,70,4,1,37,37,0,0,1.5,14.75,16,15,19,1.947368421,72.795,10.39928571,2.7,1.022857143,2.935714286,0.787142857,A,B,A,B,A,37,A,B
F6,60,9,90,4.4,1,27,41,34.14634146,34.14634146,3,18.25,17.5,16,22,1.863636364,93.83,10.42555556,2.621111111,0.907222222,3.218571429,0.802857143,A,B,B,A,B,41,A,B
F6,61,5,50,6.5,1,29,41,29.26829268,29.26829268,3,16.75,15.5,18,24,1.708333333,66.725,13.345,2.176,0.872,2.6125,0.6275,A,A,B,A,B,41,A,A
F5,62,10,100,5,1,47,69,31.88405797,31.88405797,1.5,16.25,19.5,23.5,26.5,2.603773585,140.136,14.0136,2.285,1.144,3.024,0.884,B,B,B,B,NA,69,B,B
F6,63,10,100,4.25,1,33,38,13.15789474,13.15789474,2,15,15,18,20,1.9,138.289,13.8289,NA,NA,NA,NA,B,A,A,A,A,38,A,A
F6,64,6,60,2.4,1,31,38,18.42105263,18.42105263,3,16.75,17,21,25,1.52,63.689,10.61483333,2.621666667,0.918333333,2.95,0.733333333,B,A,A,A,A,38,A,A
F6,65,9,90,3.2,1,44.5,57.5,22.60869565,22.60869565,3,16.66666667,16.5,19,22,2.613636364,65.993,7.332555556,1.988888889,0.745555556,2.77,0.79,B,A,B,B,A,57.5,NA,A
F6,66,10,100,5.8,1,36,45,20,20,NA,12,13,16,21,2.142857143,132.294,13.2294,2.318,1.072,2.856666667,0.822222222,A,B,A,B,B,45,A,B
F6,67,7,70,2.666666667,1,41.5,57.5,27.82608696,27.82608696,2,18,18,19,25,2.3,73.127,10.44671429,1.877142857,0.864285714,2.64,0.836666667,B,B,A,A,A,57.5,NA,A
F6,68,9,90,3.6,1,57,78,26.92307692,26.92307692,3,15.25,22,20,25,3.12,147.296,16.36622222,2.196666667,0.821111111,2.90875,0.82,A,A,B,B,B,78,B,A
F6,69,8,80,2.5,1,22,45,51.11111111,51.11111111,1,13.5,16,19,22,2.045454545,90.298,11.28725,2.2775,0.84875,2.838571429,0.692857143,B,B,A,B,A,45,A,A
F6,70,8,80,7,1,41,43,4.651162791,4.651162791,3,13,15.5,18,22,1.954545455,108.177,13.522125,2.0775,0.675,2.775,0.633333333,A,B,B,A,B,43,A,A
F6,71,10,100,2,1,25.5,85,70,70,1,19.75,24,19,23,3.695652174,81.39,8.139,1.854,0.866,2.636666667,0.713333333,B,A,B,B,A,85,B,A
F5,72,10,100,2.25,1,45,86,47.6744186,47.6744186,1,17,23,16,23,3.739130435,106.55,10.655,2.036,0.866,2.38125,0.7,A,A,A,B,A,86,B,A
F6,73,10,100,3,1,37.66666667,76,50.43859649,50.43859649,1,13,22,13,22,3.454545455,132.506,13.2506,NA,NA,NA,NA,A,B,A,B,A,76,B,B
F6,74,7,70,6,1,29,36,19.44444444,19.44444444,4,11,10.5,22,24,1.5,38.858,5.551142857,1.918571429,0.835714286,2.15,0.701428571,B,B,B,B,B,36,A,A
F6,75,7,70,2.25,1,20.5,67.5,69.62962963,69.62962963,4,15.25,16,22,28,2.410714286,46.789,6.684142857,2.108571429,0.948571429,2.632,0.864,A,A,B,B,B,67.5,B,B
F6,76,10,100,2.75,1,18,28,35.71428571,35.71428571,3,11.5,12,18,20,1.4,42.307,4.2307,2.511,0.742,2.543333333,0.605,B,B,A,B,A,28,A,B
F6,77,10,100,3.25,1,23,45,48.88888889,48.88888889,1,17.25,19,14,19,2.368421053,95.681,9.5681,2.893,1.013,3.37,0.775,A,B,A,B,A,45,A,B
F6,78,9,90,4.4,1,33.5,60,44.16666667,44.16666667,2,13.75,18.5,18,22,2.727272727,121.974,13.55266667,2.091111111,0.888888889,2.88,0.781111111,A,A,B,B,B,60,B,B
F6,79,7,70,4.6,1,32,45,28.88888889,28.88888889,2,15,15,17,22.5,2,71.07,10.15285714,2.238571429,0.674285714,3.008333333,0.591666667,A,B,A,A,B,45,A,A
F6,80,4,40,3.25,2,25,83.5,70.05988024,NA,3,17,15,25,28,2.982142857,31.483,7.87075,1.8875,0.8975,2.4125,0.925,A,B,A,B,B,83.5,B,A
F6,81,6,60,3,1,47.5,55,13.63636364,13.63636364,1,14.5,19.5,15,21,2.619047619,74.353,12.39216667,2.413333333,1.081666667,2.816666667,0.768333333,A,B,A,A,A,55,NA,A
F6,82,3,30,4,2,37.5,51.5,27.18446602,NA,3,14,17.5,23,26,1.980769231,29.942,9.980666667,1.896666667,0.87,2.693333333,0.77,A,A,B,B,B,51.5,NA,A
F6,83,7,70,6.33,1,29,38,23.68421053,23.68421053,2,14.5,16,16,19,2,98.233,14.03328571,2.468571429,0.811428571,3.18,0.626666667,A,B,A,A,B,38,A,B
F6,84,1,10,4,2,19,69,72.46376812,NA,NA,19,21,18,25,2.76,22.761,22.761,2.3,1,3.53,0.83,B,B,B,B,B,69,B,A
F6,85,7,70,2.5,2,17.5,28.5,38.59649123,NA,NA,14.5,15.5,12.5,18.5,1.540540541,57.695,8.242142857,2.68,0.96,2.62,0.684,A,A,A,A,A,28.5,A,B
F6,86,4,40,2.75,2,19,41,53.65853659,NA,4,13,15.5,19,23,1.782608696,26.362,6.5905,2.415,1.12,2.715,1.2025,B,B,B,A,B,41,A,B
F6,87,9,90,4.33,1,20.5,42,51.19047619,51.19047619,NA,17,16.5,21,26,1.615384615,126.54,14.06,2.92,1.056666667,3.361428571,0.82,A,B,B,A,B,42,A,B
F5,88,9,90,5.33,1,43,44,2.272727273,2.272727273,1,17,18,22.5,23.5,1.872340426,117.615,13.06833333,2.446666667,0.895555556,3.3725,0.79375,B,B,B,A,B,44,A,B
F6,89,10,100,3,1,32,70,54.28571429,54.28571429,4,18.5,21,18.5,26,2.692307692,148.14,14.814,NA,NA,NA,NA,B,A,B,B,B,70,B,B
F6,90,10,100,3.25,1,38,43,11.62790698,11.62790698,1,15,17.5,17,21,2.047619048,111.551,11.1551,NA,NA,NA,NA,B,B,A,NA,A,43,A,B
F6,91,7,70,3.5,1,27.33333333,56,51.19047619,51.19047619,NA,17,20,16,22,2.545454545,64.578,9.225428571,2.414285714,0.907142857,2.942,0.826,B,B,A,A,A,56,NA,B
F6,92,3,30,3.5,2,26,62,58.06451613,NA,4,18,18,24,26,2.384615385,32.804,10.93466667,2.02,1.04,2.64,1.17,B,B,B,B,NA,62,B,B
F6,93,6,60,4.25,1,40.33,64.33333333,37.31088083,37.31088083,3.5,17.5,23,20,24,2.680555556,75.255,12.5425,2.188333333,0.996666667,3.084,0.896,B,B,B,B,NA,64.33333333,B,B
F6,94,7,70,4.5,1,23,34,32.35294118,32.35294118,4,10.5,11,21,NA,NA,49.883,7.126142857,1.927142857,0.802857143,2.358571429,0.718571429,B,B,B,B,B,34,A,A
F6,95,5,50,2.5,1,36,63,42.85714286,42.85714286,4,17.5,16.5,23,NA,NA,34.177,6.8354,2.182,1.136,2.586,1.168,B,A,B,B,NA,63,B,B
F6,96,5,50,3.6,1,35,76,53.94736842,53.94736842,4,19,21,24,NA,NA,30.186,6.0372,2.204,1.122,2.62,1.1,B,A,B,B,B,76,B,B
F6,97,2,20,6,1,9,37,75.67567568,NA,4,14,14,24,NA,NA,39.881,19.9405,2.185,1.03,2.75,1.06,B,NA,B,A,B,37,A,B
F6,98,5,50,3,1,13.5,35.5,61.97183099,61.97183099,4,12,11,24,38,0.934210526,22.708,4.5416,2.176,1.024,2.6225,1.0175,B,A,B,B,B,35.5,A,A
F6,99,6,60,2.75,1,45,74,39.18918919,39.18918919,4,17,22,21,24,3.083333333,57.15,9.525,1.878333333,0.801666667,2.773333333,0.863333333,B,B,B,B,B,74,B,A
F6,100,4,40,3,2,19.5,46,57.60869565,NA,4,16,20,18.5,24,1.916666667,51.594,12.8985,2.47,1.1125,2.65,1.0925,B,A,B,A,A,46,A,B
F6,101,5,50,4,1,30,34,11.76470588,11.76470588,3,11.5,13,20,24,1.416666667,53.676,10.7352,2.32,0.922,2.9,0.935,B,B,B,B,B,34,A,A
F5,102,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,A,B,A,A,NA,A,B
F6,103,9,90,4,1,66,77,14.28571429,14.28571429,NA,16,24,19,25,3.08,176.301,19.589,NA,NA,NA,NA,B,B,B,B,B,77,B,A
F5,104,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,B,B,NA,NA,B
F6,105,9,90,3.33,1,33,40,17.5,17.5,2,18,17,13,22,1.818181818,157.773,17.53033333,3.252222222,1.328888889,3.214285714,1.022857143,B,B,B,A,NA,40,A,B
F6,106,7,70,4.5,1,44.5,69,35.50724638,35.50724638,3,19,21.5,19,26,2.653846154,56.166,8.023714286,2.047142857,0.957142857,2.764285714,0.904285714,B,B,B,NA,B,69,B,A
F6,107,10,100,3.25,1,43,46,6.52173913,6.52173913,1,16,13.5,14,18,2.555555556,123.309,12.3309,2.612,0.994,2.872222222,0.681111111,A,B,A,A,A,46,A,A
F6,108,9,90,3,1,40,74,45.94594595,45.94594595,1,14.5,23,13,21,3.523809524,124.5,13.83333333,2.63875,1.22375,2.976666667,0.812222222,A,B,A,NA,B,74,B,B
F6,109,5,50,3.5,1,37,43,13.95348837,13.95348837,4,13.5,15.5,21,NA,NA,37.66,7.532,2.51,0.892,3.148,0.748,A,B,B,A,B,43,A,B
F6,110,6,60,4.25,1,30,67,55.2238806,55.2238806,NA,12.5,19,17,19,3.526315789,63.378,10.563,2.061666667,0.921666667,2.453333333,0.875,B,B,B,B,B,67,B,B
F6,111,4,40,4.666666667,1,20,69,71.01449275,71.01449275,NA,17,22.5,17,24,2.875,94.285,23.57125,2.575,1.3525,3.445,0.89,B,B,B,A,B,69,B,B
F6,112,1,10,2.5,2,12,37,67.56756757,NA,NA,9,9.5,NA,NA,NA,7.574,7.574,2.07,1.21,2.48,1.2,NA,NA,NA,A,B,37,A,A
F6,113,10,100,5,1,46,47,2.127659574,2.127659574,4,13.5,13.5,20,25,1.88,138.742,13.8742,2.063333333,0.641111111,3.025,0.57625,A,B,B,NA,B,47,A,A
F6,114,5,50,4.125,1,25,40,37.5,37.5,4,16.5,15.5,19.25,23,1.739130435,33.99,6.798,2.12,0.926,2.783333333,0.96,A,B,B,A,B,40,A,B
F6,115,7,70,2.25,1,32,60.5,47.10743802,47.10743802,1,14.5,20.5,14,21,2.880952381,52.101,7.443,2.378571429,1.04,2.7,0.701666667,A,B,A,B,A,60.5,B,B
F5,116,10,100,4.2,1,17.5,48.5,63.91752577,63.91752577,NA,12,23,18,22,2.204545455,143.852,14.3852,2.773,1.08,3.263,0.706,B,B,B,A,B,48.5,A,B
F6,117,6,60,3.75,2,30.5,70.5,56.73758865,NA,4,13,17.5,22,29.5,2.389830508,25.227,4.2045,2.14,0.935,2.092,0.792,B,A,B,B,B,70.5,B,A
F6,118,9,90,4.75,1,18.5,40.5,54.32098765,54.32098765,NA,13,15,18,22,1.840909091,89.558,9.950888889,2.495555556,0.871111111,2.5775,0.76125,B,B,B,A,A,40.5,A,B
F6,119,3,30,NA,2,18,32,43.75,NA,NA,15,18.5,17,23,1.391304348,43.144,14.38133333,2.42,0.926666667,2.86,0.815,B,A,B,A,B,32,A,B
F6,120,3,30,1.5,2,12,29,58.62068966,NA,NA,10.5,9,22,25,1.16,8.502,2.834,2.186666667,1.106666667,2.19,1.123333333,NA,NA,NA,A,A,29,A,A
F6,121,2,20,2.333333333,1,19,32,40.625,40.625,3,12,12.5,18,21,1.523809524,40.461,20.2305,2.53,0.97,3.18,1.015,B,B,B,A,B,32,A,B
F6,122,10,100,4,1,37,72,48.61111111,48.61111111,2,15.5,21.5,17,26,2.769230769,129.136,12.9136,NA,NA,NA,NA,B,A,A,B,NA,72,B,A
F6,123,4,40,4.5,2,18,42,57.14285714,NA,NA,19,19.5,17,23,1.826086957,91.582,22.8955,2.5375,1.1075,3.0325,0.745,B,B,B,A,NA,42,A,B
F6,124,9,90,3.75,1,30,37,18.91891892,18.91891892,3,16,15.5,23,26,1.423076923,56.755,6.306111111,2.328888889,0.885555556,3,0.851428571,A,A,B,NA,NA,37,A,B
F6,125,7,70,3,1,45,60,25,25,4,16,16,21,25,2.4,33.026,4.718,1.83,0.891428571,2.492,0.964,B,A,B,B,B,60,B,A
F4,126,7,70,4,1,42.5,65,34.61538462,34.61538462,4,16,22,24,27,2.407407407,110.864,15.83771429,2.13,0.802857143,3.017142857,0.761428571,A,B,B,NA,B,65,B,A
F6,127,3,30,6,1,44,70,37.14285714,37.14285714,4,19,21,26,30,2.333333333,59.223,19.741,2.183333333,1.006666667,3.473333333,0.956666667,A,B,B,B,B,70,B,A
F6,128,7,70,4.666666667,1,52.5,61.5,14.63414634,14.63414634,3,17,21,17,22,2.795454545,88.599,12.657,2.085714286,0.837142857,2.701666667,0.686666667,NA,A,B,A,NA,61.5,B,A
F6,129,10,100,1.4,1,49,92,46.73913043,46.73913043,1,15,24,20,25,3.68,115.113,11.5113,NA,NA,NA,NA,A,A,A,A,NA,92,B,A
F6,130,6,60,1.6,1,25,52,51.92307692,51.92307692,4,16,14.5,22,30.5,1.704918033,29.259,4.8765,2.026,1.184,2.2675,1.065,B,B,B,A,B,52,NA,A
F6,131,2,20,4.5,2,19.5,35.5,45.07042254,NA,4,13,17.5,19,23,1.543478261,31.366,15.683,2.23,0.995,2.78,1.01,A,A,B,A,A,35.5,A,A
F6,132,6,60,6.666666667,1,46,64,28.125,28.125,4,14,21.5,16,24,2.666666667,109.844,18.30733333,1.76,0.77,2.23,0.6725,B,B,B,B,NA,64,B,A
F6,133,5,50,3.333333333,1,30,86,65.11627907,65.11627907,1,18,23,17,24,3.583333333,78.372,15.6744,2.032,0.916,2.703333333,0.783333333,B,B,A,B,NA,86,B,A
F6,134,9,90,5,1,56,68,17.64705882,17.64705882,4,14,21,18.5,20.5,3.317073171,127.212,14.13466667,1.796666667,0.66,2.5875,0.62875,A,A,A,A,A,68,B,A
F6,135,10,100,4.25,1,15,42,64.28571429,64.28571429,4,14,18,21,NA,NA,107.221,10.7221,2.681,1.047,2.818571429,0.852857143,B,B,B,A,A,42,A,B
F6,136,3,30,1.333333333,2,9,39,76.92307692,NA,4,15,17.5,17.5,24,1.625,12.065,4.021666667,2.393333333,1.133333333,NA,NA,NA,B,A,B,A,39,A,B
F5,137,9,90,3.2,1,33.25,66,49.62121212,49.62121212,1,20.5,20.5,17,23,2.869565217,131.618,14.62422222,2.127777778,1.017777778,2.64,0.691111111,B,A,A,B,NA,66,B,B
F6,138,5,50,2.5,2,11,82,86.58536585,NA,1,21,22,15,22,3.727272727,49.42,9.884,1.908,0.732,2.7925,0.6825,NA,A,A,B,NA,82,B,A
F6,139,7,70,5.66,1,15,36.5,58.90410959,58.90410959,4,12.5,17,15,18,2.027777778,73.764,10.53771429,2.05,0.822857143,2.59,0.731428571,B,B,B,A,B,36.5,A,B
F6,140,5,50,3.66,1,49,63,22.22222222,22.22222222,4,20,18.5,22,26,2.423076923,15.589,3.1178,1.78,0.86,2.64,0.78,B,A,B,B,B,63,B,A
F6,141,6,60,NA,NA,NA,NA,,NA,4,14,15,23,NA,NA,15.298,2.549666667,2.248333333,0.995,2.7775,1.0025,B,B,B,NA,NA,NA,,A
F6,142,9,90,3.75,1,34,40,15,15,4,18,16,15,20,2,110.935,12.32611111,2.641111111,1.074444444,2.85,0.79625,B,A,A,A,A,40,A,B
F6,143,9,90,5,1,45,70.5,36.17021277,36.17021277,NA,16.5,21,20,26,2.711538462,91.361,10.15122222,1.92625,0.74375,3.145,0.72875,A,A,B,A,NA,70.5,B,A
F6,144,8,80,2.6,1,17.5,69,74.63768116,74.63768116,4,18.5,20.5,23,27,2.555555556,47.302,5.91275,2.24125,0.910625,2.951666667,0.851666667,B,A,B,B,B,69,B,B
F6,145,6,60,7,1,30.5,34,10.29411765,10.29411765,4,14,16,19,21,1.619047619,69.558,11.593,2.285,0.823333333,3.053333333,0.558333333,A,A,A,A,B,34,A,B
F6,146,10,100,4.8,1,37.5,41.5,9.638554217,9.638554217,1,15.5,18,17,21,1.976190476,118.552,11.8552,2.586666667,1.013333333,3.06,0.736666667,A,A,A,A,NA,41.5,A,A
F6,147,9,90,4,1,44,73,39.7260274,39.7260274,3,17.5,18,23,27,2.703703704,83.919,9.324333333,2.1025,0.79375,2.842222222,0.691111111,A,B,A,B,NA,73,B,B
F6,148,9,90,2.8,1,27,58,53.44827586,53.44827586,NA,17.5,20.5,20,22,2.636363636,49.026,5.447333333,1.821111111,0.644444444,2.397142857,0.515714286,B,A,A,B,A,58,NA,A
F6,149,8,80,4.6,1,30,41,26.82926829,26.82926829,3,12,18.5,15,21,1.952380952,62.463,7.807875,2.2275,0.80375,2.822857143,0.777142857,A,A,B,B,B,41,A,B
F6,150,10,100,3.5,1,41.5,57.5,27.82608696,27.82608696,3,18,18,21,25,2.3,56.676,5.6676,1.905,0.671,2.46375,0.57,B,B,A,NA,NA,57.5,,A
F6,151,1,10,5,2,17,82,79.26829268,NA,1,26,23,15,22,3.727272727,30.404,30.404,3.11,1.47,3.86,0.89,A,B,NA,B,A,82,B,B
F6,152,9,90,5.5,1,20,70,71.42857143,71.42857143,3,17.25,18.5,17,22,3.181818182,126.88,14.09777778,2.3,0.86375,3.225555556,0.76,A,B,A,B,B,70,B,B
F6,153,7,70,4.25,1,34,69,50.72463768,50.72463768,4,15,17,21,24,2.875,53.711,7.673,2.038571429,0.688571429,2.774285714,0.698571429,B,A,B,B,NA,69,B,A
F6,154,6,60,5,1,29,37.25,22.14765101,22.14765101,NA,13.5,16.5,16,21,1.773809524,44.584,7.430666667,2.356666667,0.976666667,2.436,0.712,A,A,A,A,A,37.25,A,A
F6,155,5,50,2.8,1,25,37,32.43243243,32.43243243,4,14,16,20,22,1.681818182,34.159,6.8318,2.042,0.9,2.242,0.804,B,B,A,A,A,37,A,A
F6,156,8,80,2,1,29.5,41,28.04878049,28.04878049,1,19.5,18.5,15,20,2.05,52.366,6.54575,1.98625,0.83625,2.853333333,0.823333333,B,B,A,B,A,41,A,B
F6,157,5,50,1.6,1,35,62,43.5483871,43.5483871,NA,15.5,19,15,23,2.695652174,64.704,12.9408,2.542,1.016,3.493333333,1.11,A,A,A,B,A,62,B,B
F6,158,10,100,2.666666667,1,25,62,59.67741935,59.67741935,1,19,18.5,15,20,3.1,64.229,6.4229,2.014,0.802,2.474,0.674,B,B,A,B,A,62,B,B
F6,159,9,90,1.2,1,29,71,59.15492958,59.15492958,4,20,20,18,21,3.380952381,45.895,5.099444444,2.072222222,0.792222222,3.09,1.006666667,B,A,A,B,NA,71,B,NA
F6,160,10,100,4.4,1,39,49,20.40816327,20.40816327,4,14.5,17,18,21,2.333333333,84.227,8.4227,2.379090909,0.701818182,2.88,0.567142857,A,B,NA,A,B,49,A,B
F6,161,8,80,5.5,1,65,69,5.797101449,5.797101449,4,19.5,22,17,22,3.136363636,111.928,13.991,1.89375,0.66125,2.5425,0.59125,A,B,A,NA,NA,69,B,A
F6,162,6,60,4.5,1,34,38,10.52631579,10.52631579,4,17,17.5,18,23,1.652173913,139.305,23.2175,3.33,1.42,3.608333333,0.956666667,A,A,B,NA,NA,38,A,B
