DNA GENERATION,LINE #,Germination 2014NACHECKED,Germination 2014 %,branch numb.2014,"stand good?1=Y. 2=bad sample, do not use lines labeled 2",Height,length,prcnt lodging bad germ lines includedNAchecked,Prcnt.Lodging,flowering time 2014,tendril length 14 node 2014,tendril length 2014,Nodes 1st flow 2014,max nodes 2014,internode length 2014,Total yield 2014,Avg.Yld.Plant 2014,Main stm.diameter 2014,Average compressed main stem thickness 2014,Tiller diameter 2014,compressed tiller thickness 2014,"white flower, 1 is white",black hilum delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late,length,tall/dwf based on grnhouse data+ field 2014 ,Afila 1=YES=DELTA=A
F6,236,2,20,NA,2,20.5,35,41.42857143,NA,4,14.5,16,17,22,1.590909091,71.48,35.74,2.425,0.75,3.07,0.69,B,A,B,A,B,35,A,A
F6,237,9,90,5.2,1,47,54,12.96296296,12.96296296,4,12.5,19.5,20.33,23.66666667,2.281690141,183.175,20.35277778,2.356666667,0.691111111,3.32,0.631428571,A,B,B,B,B,54,NA,A
F6,238,10,100,4.333333333,1,24,88,72.72727273,72.72727273,1,17,23.5,15,23,3.826086957,126.834,12.6834,NA,NA,NA,NA,A,B,A,A,NA,88,B,B
F6,239,8,80,3.4,1,31.5,74.5,57.71812081,57.71812081,1,14,22,18,24,3.104166667,103.354,12.91925,2.3,1.25625,2.662,0.696,B,A,A,B,A,74.5,B,B
F6,240,6,60,3,1,37,60,38.33333333,38.33333333,4,13,20.5,21,23,2.608695652,32.123,5.353833333,1.985,1.066666667,2.5375,1.0525,NA,B,B,B,B,60,B,B
F6,241,10,100,4.8,1,38.5,63.5,39.37007874,39.37007874,3,15,19,16,23,2.760869565,158.273,15.8273,2.104,0.986,2.977777778,0.792222222,A,B,A,B,B,63.5,B,B
F6,242,4,40,5.333333333,2,39,44,11.36363636,NA,4,13.5,19,22.5,25,1.76,36.416,9.104,2.35,0.89,3.445,0.76,B,B,B,B,B,44,A,A
F4,243,3,30,1.5,2,20,58,65.51724138,NA,4,15,18.5,17,22,2.636363636,25.778,8.592666667,2.223333333,1.02,3.2,1.28,B,B,A,B,NA,58,,B
F6,244,10,100,3.6,1,36.5,46,20.65217391,20.65217391,1,15.5,16,20,25,1.84,64.002,6.4002,NA,NA,NA,NA,B,B,B,A,NA,46,A,A
F6,245,8,80,2.25,1,21.5,42.5,49.41176471,49.41176471,4,18,20,17,22,1.931818182,51.404,6.4255,NA,NA,NA,NA,A,B,A,A,A,42.5,A,B
F6,246,6,60,3.4,1,49,54,9.259259259,9.259259259,4,14,17,21,25,2.16,13.632,2.272,1.798333333,0.805,2.348333333,0.848333333,A,B,A,B,B,54,,A
F6,247,6,60,4,1,19,47.5,60,60,4,16,19,21,24.5,1.93877551,52.447,8.741166667,2.526666667,1.035,2.99,0.82,B,A,B,A,B,47.5,A,A
F6,248,8,80,3.25,1,45,74.5,39.59731544,39.59731544,4,16,18,21,25,2.98,74.29,9.28625,NA,NA,NA,NA,A,A,B,B,B,74.5,B,A
F6,249,10,100,4,1,48.5,50.5,3.96039604,3.96039604,4,13,17,18,23,2.195652174,111.468,11.1468,2.141,0.787,3.20375,0.7,A,A,B,A,B,50.5,NA,A
F6,250,8,80,5,1,30,36.5,17.80821918,17.80821918,NA,17.5,15,14,19.5,1.871794872,80.426,10.05325,2.63625,1.015,2.906,0.842,A,A,A,B,A,36.5,A,B
F6,251,9,90,2.8,1,27,69,60.86956522,60.86956522,4,18.5,19.5,18,22,3.136363636,94.094,10.45488889,NA,NA,NA,NA,NA,B,A,A,A,69,B,B
F5,252,9,90,3.5,1,22,43,48.8372093,48.8372093,1,16.5,17,15,20,2.15,120.998,13.44422222,2.464444444,0.916666667,2.561111111,0.631111111,B,B,B,B,B,43,A,B
F6,253,7,70,5.4,1,38,74,48.64864865,48.64864865,2,26,18.5,19,23.5,3.14893617,140.229,20.03271429,2.088571429,0.837142857,2.974285714,0.875714286,A,A,B,A,B,74,B,B
F6,254,9,90,4.333333333,1,32.5,73.75,55.93220339,55.93220339,4,18,19.5,21,26,2.836538462,84.621,9.402333333,2.248888889,1,2.82125,0.96375,B,B,B,A,NA,73.75,B,B
F5,255,9,90,2.8,1,12,74,83.78378378,83.78378378,1,21,22,19,24,3.083333333,80.785,8.976111111,NA,NA,NA,NA,B,B,A,B,A,74,B,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
