Year,DNA GENERATION,LINE #,Germination 2014NACHECKED,Germination 2014 %,branch numb.2014,"stand good?1=Y. 2=bad sample, do not use lines labeled 2",Height,length,prcnt lodging bad germ lines includedNAchecked,Prcnt.Lodging,flowering time 2014,tendril length 14 node 2014,tendril length 2014,Nodes 1st flow 2014,max nodes 2014,internode length 2014,Total yield 2014,Avg.Yld.Plant 2014,Main stm.diameter 2014,Average compressed main stem thickness 2014,Tiller diameter 2014,compressed tiller thickness 2014,"white flower, 1 is white",black hilum delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late,length,tall/dwf based on grnhouse data+ field 2014 ,Afila 1=YES=DELTA=A,Maturity Time,Tendril Width,Root compressed avg,"avg main, side brnch+root"
2014,F7,39,8,80,2.6,1,24,65,63.07692308,63.07692308,2,13.25,17,17,20,3.25,71.848,8.981,1.76,0.66,2.205714286,0.657142857,B,B,A,B,B,65,B,A,,,,
2014,F7,40,6,60,3.33,1,38,39,2.564102564,2.564102564,3,11.75,14,17,21,1.857142857,51.482,8.580333333,2.278333333,0.855,2.625,0.725,B,A,A,A,A,39,A,A,,,,
2014,F7,41,10,100,4.66,1,52,52,0,0,NA,16.25,18,18,23,2.260869565,277.537,27.7537,2.466,0.862,3.684444444,0.625555556,A,B,B,A,B,52,A,A,,,,
2014,F7,42,9,90,4,1,30.5,36,15.27777778,15.27777778,1,15,14,18,21,1.714285714,79.874,8.874888889,2.367777778,0.91,2.417142857,0.651428571,B,A,A,B,A,36,A,B,,,,
2014,F5,43,10,100,4.66,1,42,81,48.14814815,48.14814815,1,19,21.5,16,24,3.375,142.323,14.2323,2.407,1.229,2.8425,0.86,A,B,A,NA,A,81,B,B,,,,
2014,F7,44,7,70,4,1,40,46,13.04347826,13.04347826,2,16,17,16,20,2.3,65.121,9.303,2.224285714,0.77,2.601428571,0.602857143,B,A,A,B,NA,46,A,A,,,,
2014,F7,45,9,90,4.8,1,36,68,47.05882353,47.05882353,3,17.5,18,18,22,3.090909091,98.839,10.98211111,2.201111111,0.982222222,2.927142857,0.832857143,A,B,B,A,B,68,B,B,,,,
2014,F7,46,9,90,3.5,1,40,64.5,37.98449612,37.98449612,3,22.75,27,16,23,2.804347826,83.792,9.310222222,2.144444444,0.765555556,2.891428571,0.765714286,B,B,B,B,NA,64.5,B,B,,,,
2014,F7,47,6,60,4.66,1,18.5,38,51.31578947,51.31578947,3,13,16.5,22,25,1.52,67.029,11.1715,2.113333333,0.848333333,2.9875,0.8625,B,B,B,A,B,38,A,B,,,,
2014,F7,48,7,70,3,1,15,59,74.57627119,74.57627119,3,20,19.5,22,25,2.36,41.038,5.862571429,2.405714286,0.938571429,2.675714286,0.894285714,B,A,B,B,NA,59,NA,B,,,,
2014,F7,49,10,100,2.25,1,43,46,6.52173913,6.52173913,3,17,18.5,20,24,1.916666667,66.322,6.6322,2.314,0.786,2.407777778,0.644444444,B,B,A,A,A,46,A,A,,,,
2014,F7,50,10,100,3.8,1,27,31,12.90322581,12.90322581,2,13,14.5,17,23,1.347826087,79.026,7.9026,2.582,1.081,2.576666667,0.785555556,B,A,A,NA,A,31,A,B,,,,
2014,F6,51,8,80,6,1,39,65.5,40.45801527,40.45801527,2,15.25,20,21,23.5,2.787234043,85.317,10.664625,2.02375,1.10125,2.855714286,0.795714286,A,A,B,A,NA,65.5,B,B,,,,
2014,F6,52,6,60,3.25,2,25.5,67.5,62.22222222,NA,NA,15,16,18,20,3.375,98.432,16.40533333,2.748333333,1.116666667,2.923333333,0.806666667,NA,A,A,A,A,67.5,B,B,,,,
2014,F7,53,10,100,3.5,1,23,67,65.67164179,65.67164179,1,15.5,17,16,23,2.913043478,95.129,9.5129,NA,NA,NA,NA,A,B,A,A,A,67,B,A,,,,
2014,F6,54,6,60,3,1,25,83,69.87951807,69.87951807,2,18.25,22.5,14,21,3.952380952,56.432,9.405333333,2.25,0.935,3.125,0.8525,A,A,A,B,A,83,B,A,,,,
2014,F6,55,9,90,4.75,1,21.33333333,49.66666667,57.04697987,57.04697987,2,16.5,18,20,22,2.257575758,66.217,7.357444444,2.293333333,0.886666667,3.07,0.948,B,B,A,B,A,49.66666667,A,B,,,,
2014,F7,56,5,50,1.66,1,22,84,73.80952381,73.80952381,2,19.5,20.5,9,15.5,5.419354839,50.025,10.005,2.572,1.198,3.096666667,1.056666667,A,A,B,B,A,84,B,B,,,,
2014,F5,57,8,80,2.75,1,25.5,48,46.875,46.875,1,17.75,21,17,23,2.086956522,66.148,8.2685,2.23625,1.17375,2.752,0.816,B,A,A,A,A,48,A,B,,,,
2014,F6,58,3,30,2.66,2,28,75,62.66666667,NA,2,22,22,16,23,3.260869565,39.289,13.09633333,2.29,1.106666667,2.89,0.77,A,A,A,B,A,75,B,A,,,,
2014,F6,59,7,70,4,1,37,37,0,0,1.5,14.75,16,15,19,1.947368421,72.795,10.39928571,2.7,1.022857143,2.935714286,0.787142857,A,B,A,B,A,37,A,B,,,,
2014,F6,60,9,90,4.4,1,27,41,34.14634146,34.14634146,3,18.25,17.5,16,22,1.863636364,93.83,10.42555556,2.621111111,0.907222222,3.218571429,0.802857143,A,B,B,A,B,41,A,B,,,,
2014,F6,61,5,50,6.5,1,29,41,29.26829268,29.26829268,3,16.75,15.5,18,24,1.708333333,66.725,13.345,2.176,0.872,2.6125,0.6275,A,A,B,A,B,41,A,A,,,,
2014,F5,62,10,100,5,1,47,69,31.88405797,31.88405797,1.5,16.25,19.5,23.5,26.5,2.603773585,140.136,14.0136,2.285,1.144,3.024,0.884,B,B,B,B,NA,69,B,B,,,,
2014,F6,63,10,100,4.25,1,33,38,13.15789474,13.15789474,2,15,15,18,20,1.9,138.289,13.8289,NA,NA,NA,NA,B,A,A,A,A,38,A,A,,,,
2014,F6,64,6,60,2.4,1,31,38,18.42105263,18.42105263,3,16.75,17,21,25,1.52,63.689,10.61483333,2.621666667,0.918333333,2.95,0.733333333,B,A,A,A,A,38,A,A,,,,
2014,F6,65,9,90,3.2,1,44.5,57.5,22.60869565,22.60869565,3,16.66666667,16.5,19,22,2.613636364,65.993,7.332555556,1.988888889,0.745555556,2.77,0.79,B,A,B,B,A,57.5,NA,A,,,,
2014,F6,66,10,100,5.8,1,36,45,20,20,NA,12,13,16,21,2.142857143,132.294,13.2294,2.318,1.072,2.856666667,0.822222222,A,B,A,B,B,45,A,B,,,,
2014,F6,67,7,70,2.666666667,1,41.5,57.5,27.82608696,27.82608696,2,18,18,19,25,2.3,73.127,10.44671429,1.877142857,0.864285714,2.64,0.836666667,B,B,A,A,A,57.5,NA,A,,,,
2014,F6,68,9,90,3.6,1,57,78,26.92307692,26.92307692,3,15.25,22,20,25,3.12,147.296,16.36622222,2.196666667,0.821111111,2.90875,0.82,A,A,B,B,B,78,B,A,,,,
2014,F6,69,8,80,2.5,1,22,45,51.11111111,51.11111111,1,13.5,16,19,22,2.045454545,90.298,11.28725,2.2775,0.84875,2.838571429,0.692857143,B,B,A,B,A,45,A,A,,,,
2014,F6,70,8,80,7,1,41,43,4.651162791,4.651162791,3,13,15.5,18,22,1.954545455,108.177,13.522125,2.0775,0.675,2.775,0.633333333,A,B,B,A,B,43,A,A,,,,
2014,F6,71,10,100,2,1,25.5,85,70,70,1,19.75,24,19,23,3.695652174,81.39,8.139,1.854,0.866,2.636666667,0.713333333,B,A,B,B,A,85,B,A,,,,
2014,F5,72,10,100,2.25,1,45,86,47.6744186,47.6744186,1,17,23,16,23,3.739130435,106.55,10.655,2.036,0.866,2.38125,0.7,A,A,A,B,A,86,B,A,,,,
2014,F6,73,10,100,3,1,37.66666667,76,50.43859649,50.43859649,1,13,22,13,22,3.454545455,132.506,13.2506,NA,NA,NA,NA,A,B,A,B,A,76,B,B,,,,
2014,F6,74,7,70,6,1,29,36,19.44444444,19.44444444,4,11,10.5,22,24,1.5,38.858,5.551142857,1.918571429,0.835714286,2.15,0.701428571,B,B,B,B,B,36,A,A,,,,
2014,F6,75,7,70,2.25,1,20.5,67.5,69.62962963,69.62962963,4,15.25,16,22,28,2.410714286,46.789,6.684142857,2.108571429,0.948571429,2.632,0.864,A,A,B,B,B,67.5,B,B,,,,
2014,F6,76,10,100,2.75,1,18,28,35.71428571,35.71428571,3,11.5,12,18,20,1.4,42.307,4.2307,2.511,0.742,2.543333333,0.605,B,B,A,B,A,28,A,B,,,,
2014,F6,77,10,100,3.25,1,23,45,48.88888889,48.88888889,1,17.25,19,14,19,2.368421053,95.681,9.5681,2.893,1.013,3.37,0.775,A,B,A,B,A,45,A,B,,,,
2014,F6,78,9,90,4.4,1,33.5,60,44.16666667,44.16666667,2,13.75,18.5,18,22,2.727272727,121.974,13.55266667,2.091111111,0.888888889,2.88,0.781111111,A,A,B,B,B,60,B,B,,,,
2014,F6,79,7,70,4.6,1,32,45,28.88888889,28.88888889,2,15,15,17,22.5,2,71.07,10.15285714,2.238571429,0.674285714,3.008333333,0.591666667,A,B,A,A,B,45,A,A,,,,
2014,F6,80,4,40,3.25,2,25,83.5,70.05988024,NA,3,17,15,25,28,2.982142857,31.483,7.87075,1.8875,0.8975,2.4125,0.925,A,B,A,B,B,83.5,B,A,,,,
2014,F6,81,6,60,3,1,47.5,55,13.63636364,13.63636364,1,14.5,19.5,15,21,2.619047619,74.353,12.39216667,2.413333333,1.081666667,2.816666667,0.768333333,A,B,A,A,A,55,NA,A,,,,
2014,F6,82,3,30,4,2,37.5,51.5,27.18446602,NA,3,14,17.5,23,26,1.980769231,29.942,9.980666667,1.896666667,0.87,2.693333333,0.77,A,A,B,B,B,51.5,NA,A,,,,
2014,F6,83,7,70,6.33,1,29,38,23.68421053,23.68421053,2,14.5,16,16,19,2,98.233,14.03328571,2.468571429,0.811428571,3.18,0.626666667,A,B,A,A,B,38,A,B,,,,
2014,F6,84,1,10,4,2,19,69,72.46376812,NA,NA,19,21,18,25,2.76,22.761,22.761,2.3,1,3.53,0.83,B,B,B,B,B,69,B,A,,,,
