line #,average lodging Moccasin 2015,AVERAGE HEIGHT Moccasin 2015,Yield,% GERMINATION AVG with bad germinating lines left in and adjusted for seeds planted,% germ avg with bad germ lines removed and adjusted for seeds planted,# of branch,plants harvested,% Lodging,% Lodging with bad germinating lines included,Average height,average length (Median 2015=40NA45cm),Mat time,tendril width,tendril Length,Nodes 1st flow,max nodes,runt?,main stem DIAm avg,Main stem comp. avg,tiller Diam AVG,tiller compressed avg,Root compressed avg,"avg main, side brnch+root",white flow?,black hilum LG 6 delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late 2015,average length 2015,tall/dwf based on grnhouse data+ field 2015,AVERAGE HEIGHT Moccasin 2015 (43NA58),,Afila 2015,afilaNAdwf only
9,31.46183319,33.66666667,17.6725,96.66666667,96.66666667,2.25,4,27.06575964,27.06575964,19.22222222,26.5,1,11,14.33333333,15,19,1,2.1875,0.788333333,2.186666667,0.621666667,1.575,1.983055556,A,A,A,A,A,26.5,A,33.66666667,9,A,
10,50.62627423,70,11.8515,100,100,2.166666667,4,44.87395817,44.87395817,22,41.83333333,1,13.5,16.66666667,15,19,1,1.736666667,0.58,2.114166667,0.5475,1.550555556,1.800462963,A,A,A,B,B,41.83333333,,70,10,A,
11,14.44745967,32.16666667,36.178,45.37037037,100,2.5,4,31.37254902,45.68627451,17.5,25.5,2,5,14,NA,NA,2,2.3725,0.86,2.5175,0.795,1.935,2.275,A,A,B,A,B,25.5,A,32.16666667,11,B,
12,49.01420817,74.83333333,16.719,95.83333333,95.83333333,1.583333333,3.666666667,68.74659197,68.74659197,17.5,54.16666667,1,15.5,17.16666667,15,18,1,2.026666667,0.711666667,2.32125,0.6325,1.705833333,1.9475,A,A,B,A,A,54.16666667,B,74.83333333,12,A,
13,43.29448329,32.66666667,23.90766667,93.33333333,93.33333333,2.416666667,3.333333333,51.12461828,51.12461828,14,27.05555556,1,4.666666667,12.5,11,15,NA,2.553333333,0.884722222,2.5325,0.763333333,2.204722222,2.430185185,A,B,A,A,A,27.05555556,A,32.66666667,13,B,
14,68.76655226,82,21.95333333,86.66666667,86.66666667,1.636666667,3,69.26091023,69.26091023,19.38888889,66.33333333,1.166666667,7,19.16666667,17.5,22,1,2.207222222,0.700833333,1.975,0.455,1.897222222,2.055555556,A,A,A,B,A,66.33333333,B,82,14,B,
15,26.20257725,33.83333333,25.55933333,96.66666667,96.66666667,1.75,4,55.37593985,55.37593985,11.5,27.33333333,1,5,12.33333333,13,15,1,2.541666667,0.905555556,2.814166667,0.75,1.7125,2.356111111,A,A,A,A,A,27.33333333,A,33.83333333,15,B,
16,36.02550033,60.16666667,8.661333333,96.66666667,96.66666667,1.916666667,4,26.73544704,26.73544704,26.72222222,36.72222222,1,9.5,13,14,17,1,1.680555556,0.646666667,1.868611111,0.604722222,1.414444444,1.654537037,A,A,A,B,A,36.72222222,A,60.16666667,16,A,
17,40.78707259,39.33333333,16.77966667,92.96296296,92.96296296,1.553333333,3.666666667,49.68507689,49.68507689,14,27.88888889,2.166666667,6,13.83333333,13.5,14.5,NA,2.528611111,0.869166667,2.955,0.805,1.800277778,2.427962963,A,A,A,A,A,27.88888889,A,39.33333333,17,B,
18,7.018245991,40.33333333,28.18033333,96.66666667,96.66666667,2.443333333,3.666666667,16.92217452,16.92217452,24.44444444,29.16666667,2,12.66666667,12.5,17,19,1,1.901388889,0.8725,2.252222222,0.938888889,2.002222222,2.051944444,B,A,B,A,A,29.16666667,A,40.33333333,18,A,
19,58.13668242,65.66666667,16.40933333,86.66666667,86.66666667,1.583333333,3.333333333,65.98616811,65.98616811,16.16666667,49.5,1,15.33333333,16,12,15,1,2.013333333,0.68,2.038333333,0.578333333,1.766666667,1.939444444,A,B,A,NA,A,49.5,B,65.66666667,19,A,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10.25641026,39,23.88466667,93.33333333,93.33333333,2.333333333,3.333333333,46.67905854,46.67905854,16.5,31.33333333,1.666666667,6.666666667,15.66666667,17,19,1,2.44,0.811666667,2.460555556,0.56,1.780833333,2.22712963,B,NA,A,A,A,31.33333333,A,39,21,B,
22,17.83397562,35.83333333,30.5185,86.66666667,86.66666667,2.25,3.333333333,31.45249363,31.45249363,25.25,37.25,3,9.666666667,9.666666667,23,NA,1,1.946666667,0.981666667,1.968333333,0.84,2.025,1.98,A,B,B,A,B,37.25,A,35.83333333,22,A,
23,,,17.197,85,85,1.165,3,72.01067184,72.01067184,17,56.5,1,12,17.75,13,17,1,2.251666667,0.855,2.24,0.84,1.761666667,2.076111111,NA,B,A,B,B,56.5,B,,23,NA,
24,38.87554687,65.38888889,30.704,96.66666667,96.66666667,2.526666667,3.666666667,48.40014446,48.40014446,23.66666667,46.33333333,2,4.5,15.33333333,14,19,1,2.089166667,0.849166667,2.394166667,0.766111111,2.11,2.197777778,A,B,B,B,B,46.33333333,B,65.38888889,24,B,
25,43.42575658,83.55555556,13.32453333,92.59259259,92.59259259,1.916666667,3.333333333,62.01373238,62.01373238,22.83333333,59.5,2,18,18.33333333,18,23,NA,1.985,0.825833333,2.399166667,1.021666667,2.085,2.156388889,A,NA,NA,B,B,59.5,B,83.55555556,25,A,
26,55.13972358,68,15.58166667,86.66666667,86.66666667,2.083333333,4,47.93389553,47.93389553,26.61111111,51.33333333,1,13,14.83333333,17,22,1,1.74,0.623611111,2.006944444,0.578888889,1.598611111,1.781851852,A,A,A,A,A,51.33333333,B,68,26,A,
27,35.62286964,36.16666667,18.015,90,90,2.416666667,3.333333333,44.79205006,44.79205006,14,25.16666667,2,3.666666667,11.33333333,18,23,1,2.243888889,0.806111111,2.488333333,0.823333333,1.828055556,2.186759259,A,B,B,A,B,25.16666667,A,36.16666667,27,B,
28,33.59558849,73.5,44.23166667,90,90,2.783333333,4,34.7390353,34.7390353,26.33333333,38.55555556,2,5.666666667,12.16666667,14,19,1,2.376388889,0.85,2.782222222,0.841111111,2.334444444,2.497685185,A,A,B,B,B,38.55555556,,73.5,28,B,
29,26.61290323,31,19.785,100,100,2,4,41.77652228,41.77652228,14.88888889,24.38888889,1,5,13,15,18,1,2.421666667,0.758611111,2.281666667,0.491666667,1.654722222,2.119351852,A,B,A,A,A,24.38888889,A,31,29,B,
30,11.19342234,39.25,25.08266667,96.66666667,96.66666667,2,4,16.16801355,16.16801355,23.94444444,29.16666667,1.5,11.66666667,15.41666667,16,19,1,2.41,0.8025,2.466666667,0.723333333,1.890833333,2.255833333,B,A,A,A,A,29.16666667,A,39.25,30,A,
31,57.11184875,69.16666667,13.444,83.33333333,83.33333333,1.943333333,3.666666667,77.9197995,77.9197995,11.66666667,52.5,1,5.5,14.5,18,20,NA,1.863333333,0.701111111,2.425,0.635,1.507777778,1.746481481,B,B,A,B,A,52.5,B,69.16666667,31,B,
32,48.22786795,72.22222222,18.78333333,100,100,2.25,4,44.86924512,44.86924512,28.66666667,53.16666667,1.5,15,18.5,12,16,NA,2.201944444,0.6075,2.4275,0.606666667,1.635555556,2.010972222,A,B,A,A,B,53.16666667,B,72.22222222,32,A,
33,26.7137923,39,19.63866667,100,100,2.583333333,4,16.91077441,16.91077441,23.22222222,27.88888889,1,13.33333333,13.33333333,16,18,1,2.153333333,0.693333333,2.203611111,0.607777778,1.615833333,1.990925926,A,A,A,NA,A,27.88888889,A,39,33,A,
34,44.99356626,69.83333333,39.399,60,60,2.75,3,49.38412869,49.38412869,25.16666667,50.58333333,2,6,15.25,15,20,1,2.16875,1.10125,2.485,0.98,1.9525,2.202083333,A,A,B,B,B,50.58333333,B,69.83333333,34,B,
35,28.57750437,34,21.308,93.33333333,93.33333333,1.803333333,3.666666667,25.1539742,25.1539742,19.61111111,26.72222222,1,14.66666667,13.66666667,12,14,1,2.46,0.7075,2.38,0.655555556,1.598333333,2.146111111,A,B,A,B,A,26.72222222,A,34,35,A,
36,28.98505207,34,31.64666667,93.33333333,93.33333333,2,3.666666667,29.55511775,29.55511775,22.55555556,31.83333333,2,6.666666667,14.66666667,16,18,1,2.900277778,1.14,2.705,0.890555556,2.433611111,2.67962963,A,A,A,A,A,31.83333333,A,34,36,B,
37,40.5085111,38.33333333,34.13933333,100,100,2.5,4,30.8321207,30.8321207,23.38888889,33.94444444,1,5.333333333,14.66666667,16,19,1,2.783333333,1.111666667,2.799166667,0.854166667,2.198333333,2.593611111,A,A,A,A,A,33.94444444,A,38.33333333,37,B,
38,30.64908694,73.83333333,15.848,57.03703704,100,2.5,2.5,42.13483146,42.13483146,34.33333333,59.33333333,2.666666667,13,13,NA,NA,2,1.6175,0.665,2.063333333,0.666666667,1.31,1.663611111,B,B,B,B,B,59.33333333,B,73.83333333,38,B,
