Line_name,planting_generation,GerminateNABozemanNA2016,Unknown,dpo_boze_2016,plants_harvestedNA_Boze_2016,Avg_brnch_numb_boz_2016,avg_height_boze_2016,avg_length_boze_2016,pctg_Lodging_boze_2016,Mat_time_boze_2016,bif_boze_2016,avg_tend_length_boze_2016,Avg_Main_stem_diam_boze_2016,avg_comp_mn_stm_dia_boze_2016,avg_branch_diam_boze_2016,avg_comp_brnch_diam_boze_2016,avg_root_diam_boze_2016,Yield_boze_2016,white_flow_2016_boze,afila_2016_boze_
46,F8,21,84,2,5,1,48,68.66666667,30.09708738,2,3,18.75,1.92,0.993333333,2.46,0.94,1.356,,B,NA
47,F8,22,88,1,4,2.25,28.66666667,32.66666667,12.24489796,1,1,11.75,1.8575,0.87,2.103333333,0.723333333,1.385,,B,NA
48,F8,23,92,1,5,1.4,30,66,54.54545455,2,3,16.5,1.8275,0.98,2.4,1.04,1.4975,,B,B
49,F8,24,96,1,5,1,33,37.5,12,1.5,2.25,13.66666667,1.843333333,0.78,2.37,0.74,1.375,,B,A
50,F7,20,80,1,5,2,24.33333333,25.66666667,5.194805195,1.5,1,11.25,2.2325,1.1,2.176666667,0.793333333,1.6975,,B,B
51,F7,24,96,1,5,2.6,43.33333333,68.66666667,36.89320388,1,2,13.75,1.6075,0.59,2.19,0.663333333,1.864,,A,B
52,F7,23,92,1,,,24.5,26,5.769230769,1,1,13.33333333,,,,,,NA,A,B
53,F8,25,100,1,5,1,24,25.5,5.882352941,1,1,12.875,2.304,1.126,,,1.6,,A,
54,F7,25,100,1,5,1,26.66666667,58,54.02298851,1,1,15.25,1.975,0.8025,,,1.4675,,A,A
55,F7,21,84,1,4,1,14.5,54,73.14814815,1,2,17.25,1.8375,0.845,,,1.425,NA,B,B
56,F8,24,96,1,5,1,28.66666667,63,54.4973545,1,1,15.83333333,2.002,0.638,,,1.326,,A,B
57,F6,19,76,1,5,1,18.5,68.75,73.09090909,1,2.5,19.25,1.83,0.7825,1.886666667,0.793333333,1.488,,B,B
58,F7,25,100,1,5,2,33.25,65.75,49.42965779,2,2,15.75,1.733333333,0.55,2.064,0.486,1.204,,A,A
