Line_name,planting_generation,GerminateNABozemanNA2016,Unknown,dpo_boze_2016,plants_harvestedNA_Boze_2016,Avg_brnch_numb_boz_2016,avg_height_boze_2016,avg_length_boze_2016,pctg_Lodging_boze_2016,Mat_time_boze_2016,bif_boze_2016,avg_tend_length_boze_2016,Avg_Main_stem_diam_boze_2016,avg_comp_mn_stm_dia_boze_2016,avg_branch_diam_boze_2016,avg_comp_brnch_diam_boze_2016,avg_root_diam_boze_2016,Yield_boze_2016,white_flow_2016_boze,afila_2016_boze_
204,F7,23,92,1,5,1.2,28.66666667,36,20.37037037,1,1,12.5,2.226,1.214,2.45,0.82,1.5,,A,B
205,F6,24,96,1,5,2,35,60.33333333,41.98895028,1,3,17,1.6575,0.8075,2.22,0.814,1.53,,A,A
206,F7,21,84,1,4,1.5,22,64.66666667,65.97938144,1,2.25,16.66666667,2.14,1.023333333,2.95,0.865,1.7575,,A,B
207,F6,23,92,1,5,1.2,31.33333333,69,54.58937198,1,1,18,1.866,1.044,2.53,1.08,1.808,,A,B
208,,,,,,,,,,,,,,,,,,,,
209,F7,24,96,1,5,1,36.66666667,56.66666667,35.29411765,1,2.75,16.16666667,1.92,1.04,,,1.354,,A,B
210,F6,23,92,1,6,1.666666667,34.33333333,35.66666667,3.738317757,1,1,15.5,2.026666667,0.961666667,2.0525,0.775,1.418333333,,B,NA
211,F6,25,100,1,5,2,54.33333333,69.66666667,22.00956938,1,1,14.5,1.744,1.06,2.1475,0.9375,1.596,,B,A
212,F6,22,88,1,3,1.333333333,16,55.25,71.04072398,1.5,1,15.5,1.92,1.03,1.78,0.68,1.553333333,,B,B
213,F7,25,100,1,5,2.2,52,66.16666667,21.41057935,1,1,15.5,1.5225,0.705,1.874,0.834,1.394,,A,B
214,F7,25,100,1,5,2.2,48,67.5,28.88888889,1,3,12.5,1.5275,0.6675,1.69,0.66,1.4775,,B,A
215,F7,23,92,1,4,2.25,28.66666667,33.66666667,14.85148515,1,2,11.5,1.9425,0.86,2.296666667,0.616666667,1.455,,A,B
216,F7,24,96,1,5,1.2,53.33333333,78.83333333,32.34672304,2,1,17.75,1.66,0.812,1.88,0.68,1.22,,B,A
217,,,,,,,,,,,,,,,,,,,,
218,F6,23,92,2,5,1.4,36.33333333,70.66666667,48.58490566,1,4,20,2.06,0.8575,2.09,0.835,1.676,,A,NA
219,F7,17,68,1,4,1.75,30.5,35.75,14.68531469,2,1,14.25,2.14,0.8875,2.326666667,0.65,1.5725,,B,B
220,F7,20,80,1,5,1.8,35.33333333,39.33333333,10.16949153,1.5,3,12.5,1.73,0.874,2.085,0.905,1.326,,A,B
221,F7,25,100,1,5,1.4,32.66666667,57,42.69005848,1,2.5,17.66666667,1.8175,0.975,2.22,0.78,1.414,,A,B
222,F6,20,80,1,5,1,20.66666667,64.66666667,68.04123711,1,1,17.5,1.91,0.806666667,2.02,0.59,1.362,,B,B
223,F7,22,88,1,4,1,24.66666667,61.66666667,60,1.5,3,16.66666667,1.935,0.885,,,1.32,,B,B
224,,,,,,,,,,,,,,,,,,,,
225,F7,24,96,1,6,1.5,26.33333333,62.33333333,57.7540107,2,2,19,2.08,1.032,2.33,0.94,1.66,,B,B
226,F7,25,100,1,5,1.2,29.66666667,31.66666667,6.315789474,1,1,12.16666667,2.33,1.1125,2.24,0.89,1.543333333,,A,B
227,F6,24,96,1,5,1.6,32.33333333,34,4.901960784,1,1,12.75,1.958,0.902,1.973333333,0.72,1.294,,NA,A
228,F7,23,92,1,5,2.8,29.5,35.5,16.90140845,1,1,9.75,1.633333333,0.785,2.044,0.768,1.511666667,,A,A
229,F7,14,56,1,3,2.333333333,26.33333333,70.66666667,62.73584906,1,2.5,18.33333333,2.286666667,1.236666667,2.23,0.975,2.006666667,,B,B
230,F7,14,56,1,,,24,63,61.9047619,1,2.5,17.625,,,,,,NA,A,B
231,F6,19,76,1,3,1.666666667,41.66666667,60.66666667,31.31868132,1,1,17.25,1.84,0.833333333,2.015,0.7,1.436666667,,B,B
232,F7,24,96,1,5,1.8,28.33333333,74,61.71171171,1,3,18.75,1.87,0.703333333,1.816666667,0.583333333,1.38,,A,A
233,F7,25,100,1,5,1.6,24,27.33333333,12.19512195,1,1,13.33333333,2.154,0.832,1.98,0.595,1.34,,A,B
234,F7,22,88,1,3,1.666666667,32.33333333,34,4.901960784,1,1.25,12,2.155,0.88,2.35,0.8,1.48,,B,B
235,F6,25,100,1,5,1.4,30,62.66666667,52.12765957,1,2,17.83333333,2.15,1.125,2.393333333,1.073333333,1.79,,A,B
236,F7,20,80,1,4,1.75,37,39.33333333,5.93220339,1.5,2.5,13.5,1.94,0.616666667,2.2,0.62,1.45,,B,A
237,F7,25,100,1,5,2,38.66666667,41.66666667,7.2,2,2.5,13.33333333,1.695,0.5525,2.364,0.672,1.386,,A,A
238,F7,25,100,1,5,1,27,53,49.05660377,1,1,15.83333333,1.854,0.68,,,1.26,,A,B
239,,,,,,,,,,,,,,,,,,,,
240,F7,13,52,1,4,2,30.33333333,80.66666667,62.39669421,2,2,18.16666667,1.78,0.92,2.66,0.97,1.8775,,B,B
241,F7,24,96,1,5,1,37.25,96,61.19791667,2,4,18,1.905,0.9225,2.07,1,1.536,,A,B
242,F7,10,40,1,,,47.66666667,56,14.88095238,3,3.5,16.16666667,,,,,,NA,B,A
243,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,
245,F7,19,76,1,4,1.25,15.66666667,31,49.46236559,3,3,17,2.713333333,1.256666667,,1.3,1.9625,,A,B
246,F7,25,100,1,5,1.4,39.33333333,83.33333333,52.8,3,4,17.75,1.755,0.805,1.616666667,0.633333333,1.374,,A,A
247,F7,24,96,1,5,1.8,50,53.66666667,6.832298137,3,4,15.5,2.204,0.83,2.4575,0.9,1.812,,B,A
248,F7,25,100,1,5,1.6,43.33333333,91.66666667,52.72727273,1,2.5,16.33333333,1.84,0.6,2.19,0.66,1.472,,A,A
249,F7,25,100,1,5,2.2,36.5,53.5,31.77570093,2.75,3.5,14.16666667,1.748,0.628,1.868,0.62,1.41,,A,A
250,,,,,,,,,,,,,,,,,,,,
251,F7,23,92,1,5,1.2,21.33333333,69.33333333,69.23076923,1,1,19,1.724,0.77,,,1.172,,NA,NA
252,F6,17,68,1,5,1.4,24.33333333,30,18.88888889,1,1,14.16666667,2.102,0.91,1.91,0.76,1.3925,,B,B
253,F7,23,92,1,5,1.6,36.66666667,39,5.982905983,1,2,12.75,2.2825,1.1125,2.09,0.883333333,1.536,,A,B
254,F7,23,92,1,5,1.4,35.33333333,60,41.11111111,1,2.5,17.5,1.892,0.866,2.52,1.04,1.522,,B,B
255,F6,24,96,1,5,1,18.33333333,60.66666667,69.78021978,1,1,13.5,1.975,0.85,,,1.45,,B,B
Delta,A1,24,,1,,,,,,2,1,12,,,,,,,A,A
Delta,A2,25,,1,5,1,42.5,45,5.555555556,1,1,15.5,2.164,0.872,,,1.264,,A,A
Delta,A3,24,,1,5,1.4,41,42,2.380952381,1.5,1.5,18,1.972,0.87,2.52,0.86,1.4725,,A,A
Delta,A4,25,,1,5,1.4,37.5,38,1.315789474,1,1,16,2.2025,1.0725,2.5,0.71,1.4025,,A,A
Delta,A5,24,,1,5,1.2,37.66666667,39.66666667,5.042016807,1.5,1,18,2.148,0.79,2.59,0.69,1.456,,A,A
Delta,A6,24,,1,5,1,33,35,5.714285714,1,1,15.33333333,2.288,0.856,,,1.346,,A,A
Delta,A7,25,,1,5,1.4,43.33333333,45,3.703703704,1,1,16.75,2.096,0.76,2.325,0.485,1.37,,A,A
RER,A1,19,,1,5,2,38.33333333,57,32.74853801,1,1,14,1.826666667,0.81,2.05,0.648,1.558,,B,B
RER,A2,22,,1,4,1.5,40.5,79.5,49.05660377,2,2.5,16,1.7275,0.8125,1.97,0.81,1.775,,B,B
RER,A3,24,,1,5,2.2,42.5,71.5,40.55944056,2,3.5,16,1.706,0.958,2.1175,0.815,1.828,,B,B
RER,A4,22,,1,5,1.8,42,58,27.5862069,1,2.75,15.83333333,1.678,0.95,2.145,0.965,1.482,,B,B
RER,A5,17,,1,4,1.25,37.5,57,34.21052632,2.5,2.5,13.75,1.8,0.763333333,1.85,1.05,1.52,,B,B
RER,A6,22,,1,5,1,22.5,52,56.73076923,1.5,2.5,14,1.768,1.062,,,1.21,,B,B
RER,A7,20,,1,5,1.8,35.33333333,74.33333333,52.46636771,2,4,13.66666667,1.66,0.934,1.9525,1.0075,1.502,,B,B
Delta,,24.42857143,,1,,1.233333333,39.16666667,40.77777778,3.952050606,1.285714286,1.071428571,15.94047619,2.145083333,0.870083333,2.48375,0.68625,1.385166667,,,
RER,,20.85714286,,1,,1.65,36.95238095,64.19047619,41.90835036,1.714285714,2.678571429,14.75,1.73802381,0.898547619,2.014166667,0.882583333,1.553571429,,,
