,# of seed,Grams,100 SEED WEIGHT,Height/ length 2013 inches,Length (cm),# of branches 2013,"Strength of base; Weak=1, very strong=4, 2013","Erectness, Fallen=1, erect=4. 2013",width of stem at base (thick or thin)=2013,"early flower, late flower, or indeterminate 2013","Bifurcation (1=no, 2=yes) 2013",White flower 2013,Afila 2013,germination 2013 %,Runt?,Does it look like a good variety,overall rating
Delta,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,A,A,,,,
Rer,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,B,B,,,,
27,86,13.725,15.95930233,12,30.48,3,3,1,2,2,1,A,B,80,,1,7
28,147,22.077,15.01836735,14,35.56,2,2,1,1,2,1,A,B,40,,1,5
29,NA,NA,NA,12,30.48,3,3,1,2.5,1,1,A,B,60,,1,7.5
30,NA,NA,NA,14,35.56,3,2,1,2,1,1,B,A,20,,1,6
31,NA,NA,NA,10,25.4,1,2,1,1,1,1,A,NA,80,,1,5
32,NA,NA,NA,15,38.1,2,2,1,1,1,1,A,B,40,,1,5
33,NA,NA,NA,7,,5,1,1,1,1,1,A,B,80,yes,1,4
34,NA,NA,NA,15,38.1,2,1,1,2,2,1,A,B,60,,1,5
35,NA,NA,NA,12,30.48,2,1,1,2,2,1,A,A,100,,1,5
36,100,15.656,15.656,12,30.48,2,1,1,3,2,1,A,B,80,,1,6
37,68,10.129,14.89558824,12,30.48,3,1,1,3,1,NA,A,B,100,,1,6
38,NA,NA,NA,27,68.58,3,1,1,1,2,1,B,A,40,,1,4
39,NA,NA,NA,12,30.48,2,1,1,1,1,1,B,A,40,,1,4
40,60,7.411,12.35166667,11,27.94,2,1,1,1,2,1,B,B,60,,1,4
41,30,5.107,17.02333333,6,,1,1,0,NA,2,1,A,B,60,yes,1,2
42,NA,NA,NA,10,25.4,4,1,1,2,1,1,B,B,40,,1,5
43,NA,NA,NA,16,40.64,4,3,1,1,1,1,A,B,100,,1,6
44,NA,NA,NA,10,25.4,3,2,1,3,1,1,B,A,20,,1,7
45,NA,NA,NA,24,60.96,3,1,1,1,2,1,A,NA,80,,1,4
46,NA,NA,NA,22,55.88,3,2,1,2,2,1,B,B,20,,1,6
47,NA,NA,NA,12,30.48,4,3,1,1,1,1,B,B,20,,1,6
