Line name,% GerminationNAMoccasinNA2016,Tendril Length 2016,Avg branch number 2016,AVG length moc 2016,%lodging 2016,Mat timeNA MoccasinNA2016,white flow moc 2016 checked,afila 2016 moc checked,Main stem diam avg 2016,avg branch diam 2016,avg root diam 2016
77,100,13.5,1,23.66666667,42.25352113,1,A,B,2.174,,1.352
78,94.11764706,18,1.2,55,60.90909091,2,A,B,1.78,1.68,1.414
79,100,10.5,2.25,31,4.838709677,3,A,A,2.09,1.873333333,1.584
80,100,18,1.8,72.33333333,22.11981567,3,A,A,1.7425,1.89,1.336
81,100,15,1.3,32.5,26.15384615,1,A,A,2.002,,1.316
82,100,14,1.8,72.5,22.75862069,3,A,A,1.605,1.7175,1.396
83,100,13,1.4,29,18.96551724,3,A,B,2.07,2.326666667,1.468
84,88.23529412,15,1.6,61.33333333,22.82608696,3,B,A,1.575,1.956,1.29
85,100,12,1,26.66666667,15,1,A,B,2.224,,1.346
86,94.11764706,14,1.6,32,18.75,3,B,B,2.154,1.98,1.494
87,100,17,1.2,31.66666667,12.63157895,3,A,B,2.173333333,2.486666667,1.456
88,100,16.5,1.75,34.66666667,17.30769231,3,B,B,2.726666667,2.5,2.32
89,100,15,1,55.33333333,32.53012048,3,B,B,1.91,,1.53
90,100,15,1,29.66666667,40.4494382,3.5,B,B,2.098,,1.238
91,88.23529412,15.5,1.2,53.33333333,53.75,1,B,B,1.692,,1.23
92,100,17.5,1.8,68.66666667,31.55339806,3,B,B,1.85,2.26,1.49
93,94.11764706,18.5,1,62,52.15053763,3,B,B,1.9125,,1.332
94,94.11764706,10,2.2,28,21.42857143,3.5,B,A,1.876,1.995,1.548
95,82.35294118,13.5,2.5,47,29.78723404,3,B,B,1.86,2.29,1.815
96,100,18.5,2,59,50.84745763,3,B,B,1.98,1.974,1.668333333
97,94.11764706,15,1.8,40.33333333,13.63636364,3,B,B,1.905,2.08,1.46
98,100,13,1.6,42,7.936507937,3,B,A,2.13,2.4325,1.61
99,,,,,,,,,,,
100,76.47058824,18,1.333333333,67,51.74129353,3,B,B,1.566666667,2.31,1.4425
101,88.23529412,15,1,37.66666667,12.38938053,3,B,A,2.1775,1.755,1.59
102,,,,,,,,,,,
103,94.11764706,16,1.5,58,46.55172414,2.5,B,A,1.966666667,,1.5
104,94.11764706,20,1.4,52.5,34.28571429,3,B,B,1.85,2.59,1.6875
105,94.11764706,14.5,,34.33333333,47.57281553,3,B,B,2.388,,1.8275
106,88.23529412,17,1.6,68,55.14705882,3,B,A,1.898,2.083333333,1.712
107,100,14.5,1.4,34.33333333,24.27184466,1,A,A,2,,1.3175
108,94.11764706,17,1,61.5,66.66666667,1,A,B,2,1.79,1.382
109,100,17.5,2.4,43.5,9.195402299,4,A,B,2.426,2.333333333,1.638
110,88.23529412,17,2.25,68,31.8627451,3,B,B,1.735,2.06,1.5525
111,76.47058824,14,2.5,36,11.11111111,3,B,B,2.3725,1.91,1.5675
112,76.47058824,15,2.25,43,7.751937984,4,B,A,1.706666667,1.886666667,1.645
113,94.11764706,13.5,,49,8.163265306,3,A,A,1.98,1.7475,1.566
114,94.11764706,12,2.75,39.5,13.92405063,3,A,B,2.0925,2.29,1.85
115,100,17,1,57.66666667,53.75722543,1,A,B,2.02,1.77,1.354
116,94.11764706,14.5,1.8,34.33333333,4.854368932,3,B,B,2.18,2.27,1.436
117,100,17,1.6,72.66666667,28.44036697,3,B,A,1.5875,1.93,1.364
118,94.11764706,13,1.1,29.33333333,26.13636364,1,B,B,2.24,,1.45
119,82.35294118,12,1.8,30,16.66666667,3,B,B,2.17,1.79,1.2925
120,58.82352941,15.5,1.333333333,38,21.05263158,3,B,A,1.955,2.22,1.625
121,100,11.5,2,31.66666667,21.05263158,,B,B,1.995,2.34,1.514
122,94.11764706,17,1,58.66666667,38.06818182,2.5,B,A,1.714,,1.414
123,58.82352941,15,3,34,28.43137255,3,B,B,2.406666667,2.36,1.77
124,100,13,1.4,26.33333333,16.4556962,2,A,B,2.258,1.88,1.486
125,100,15,1.166666667,68.33333333,48.29268293,3,B,A,1.706666667,,1.24
126,100,15.5,1.8,45,17.03703704,3,A,A,1.774,2.126666667,1.438
127,100,20,1.25,82.33333333,48.98785425,3,A,A,1.823333333,1.985,1.3325
128,94.11764706,18.5,1,64.33333333,43.00518135,1,B,A,1.654,,1.286
129,94.11764706,14.5,1,71.66666667,31.62790698,3,A,A,2.19,2.0275,1.242
130,94.11764706,14.5,1,64.66666667,29.3814433,3,B,A,1.716,,1.45
131,100,13,1,32,33.33333333,1,A,A,1.882,,1.382
132,94.11764706,18,1.2,67,22.3880597,3,B,A,1.71,1.56,1.41
