Line name,% GerminationNAMoccasinNA2016,Tendril Length 2016,Avg branch number 2016,AVG length moc 2016,%lodging 2016,Mat timeNA MoccasinNA2016,white flow moc 2016 checked,afila 2016 moc checked,Main stem diam avg 2016,avg branch diam 2016,avg root diam 2016
,,,,51.44444444,56.16216543,,,,2,,2.364
,,,,33.66666667,10.48731734,,,,2.244,,2.656
,,,,31.72222222,12.59615385,,,,1.798333333,,1.897142857
,,,,NA,36.69719899,,,,1.785,,1.980833333
,,,,49.27777778,56.82531105,,,,1.99375,,1.784
,,,,33.5,7.525351361,,,,2.069166667,,1.8425
,,,,NA,,,,,,,
,,,,64,36.10219893,,,,1.745454545,,2.030909091
,,,,63.33333333,40.84046146,,,,1.891666667,,2.235833333
,,,,26.83333333,25.95863527,,,,2.78875,,2.117777778
,,,,79.33333333,41.44615864,,,,1.85125,,2.182555556
,,,,33.33333333,22.89437106,,,,2.046666667,,1.59
,,,,45.27777778,62.89437969,,,,2.18,,1.931111111
,,,,38.16666667,16.16373822,,,,2.4,,2.188
,,,,52,36.86635945,,,,1.814285714,,2.235714286
,,,,26.33333333,17.97405672,,,,2.45375,,2.24
,,,,35.5,19.87654321,,,,2,,2.194
,,,,43.05555556,5.000784683,,,,1.997,,2.005454545
,,,,30,10.52573319,,,,2.101818182,,2.245454545
,,,,52.05555556,66.34385869,,,,2.075,,1.78375
,,,,37.16666667,16.85015203,,,,2.669,,2.308
,,,,60.75,38.51004851,,,,1.863,,1.995454545
,,,,29.16666667,29.44635759,,,,2.454444444,,2.141111111
,,,,26.25,10.80975063,,,,2.330909091,,2.370909091
,,,,NA,,,,,,,
,,,,NA,24.62692311,,,,2.134166667,,1.953636364
,,,,53,41.75186447,,,,2.005454545,,1.626363636
,,,,28.66666667,9.3331014,,,,2.3,,1.798333333
,,,,28.66666667,14.44703807,,,,2.178181818,,2.238181818
,,,,61.5,49.38596491,,,,1.870909091,,1.89
,,,,44.5,4.624542125,,,,2.1375,,2.0475
,,,,54,46.16608508,,,,1.902727273,,1.8375
,,,,52.16666667,40.78381878,,,,2.001818182,,1.976666667
,,,,74.33333333,57.07105696,,,,2.158,,1.588181818
,,,,51.5,49.11622276,,,,1.81375,,1.885
,,,,35.05555556,32.01468614,,,,2.224545455,,1.870909091
,,,,NA,18.3935644,,,,1.811,,1.863333333
,,,,61.33333333,41.86869599,,,,1.781428571,,1.522857143
,,,,53.94444444,37.9579716,,,,1.774,,2.059
,,,,38,18.58222849,,,,2.44,,2.052222222
,,,,33.91666667,,,,,,,
,,,,42.25,45.42577585,,,,2.035,,1.86625
,,,,64.16666667,49.44870368,,,,1.975090909,,1.709090909
,,,,32.08333333,22.12544271,,,,2.223,,2.476
,,,,48.16666667,32.91918292,,,,1.745454545,,2.102727273
,,,,44,,,,,,,
,,,,18.58333333,22.07439812,,,,2.525,,2.261666667
,,,,62.11111111,23.67963168,,,,1.966,,2.136666667
,,,,52,36.11452161,,,,2.099166667,,2.2225
,,,,37.33333333,9.136477558,,,,2.71,,2.707272727
,,,,29.55555556,32.36882077,,,,2.247272727,,2.132727273
,,,,44.83333333,55.62969107,,,,2.02,,2.325454545
,,,,28.55555556,27.62522565,,,,2.013636364,,1.751818182
,,,,29.83333333,20.32323946,,,,2.317142857,,1.7925
,,,,52.44444444,40.04446539,,,,1.695714286,,1.722857143
,,,,56.66666667,45.92273385,,,,2.192727273,,1.825833333
,,,,42.55555556,30.61550759,,,,2.0375,,2.006363636
,,,,53.5,35.40002411,,,,1.79,,1.94875
,,,,21.16666667,23.22916667,,,,2.037,,1.777
,,,,31.44444444,15.2509368,,,,2.113636364,,1.623636364
,,,,47.61111111,73.02637,,,,2.17,,1.680909091
,,,,59.16666667,55.61758926,,,,2.166363636,,2.011666667
,,,,42.22222222,56.24080882,,,,1.848,,1.600909091
,,,,52.41666667,54.6906297,,,,1.919,,1.871818182
,,,,38.16666667,7.256406579,,,,2.4425,,2.381818182
,,,,51.16666667,24.05634479,,,,1.876,,2.08
,,,,32.66666667,9.5912532,,,,2.782727273,,2.371666667
,,,,61.66666667,50.73298355,,,,2.038333333,,1.905
,,,,27.88888889,41.2440218,,,,2.623,,2.522
,,,,45.16666667,29.73595605,,,,1.894,,2.072
,,,,50,34.60421375,,,,1.961111111,,1.939090909
,,,,39.44444444,11.09400824,,,,2.266666667,,2.080833333
,,,,41.66666667,33.90919216,,,,2.024285714,,2.118571429
,,,,66.75,30.00721501,,,,1.742857143,,2.005714286
,,,,57,30.91803739,,,,1.804166667,,1.856666667
,,,,34.11111111,56.53463036,,,,1.799,,1.784444444
,,,,53.83333333,29.77310165,,,,1.886666667,,1.81
,,,,35.11111111,26.13919132,,,,2.037777778,,2.243
,,,,61.16666667,59.60635176,,,,2.532,,2.043
,,,,60.66666667,47.51993436,,,,1.769166667,,2.051666667
,,,,29.25,29.40784675,,,,2.469090909,,1.888181818
,,,,63.38888889,34.75716347,,,,1.777777778,,1.952727273
,,,,NA,,,,,,,
,,,,65.75,52.23258071,,,,2.027,,1.933636364
,,,,61.61111111,52.84934474,,,,1.907272727,,1.702727273
,,,,31.72222222,24.50254818,,,,2.447272727,,2.011
,,,,51.16666667,32.24250829,,,,2.29125,,2.205555556
,,,,53.44444444,30.56528533,,,,1.963636364,,2.1125
,,,,37.58333333,,,,,,,
,,,,26.72222222,,,,,,,
,,,,30.83333333,14.819231,,,,1.96,,1.699166667
,,,,47.875,63.38889995,,,,1.817272727,,1.593636364
,,,,50.83333333,52.95613477,,,,1.69,,1.743333333
,,,,56.75,39.26323676,,,,1.961818182,,1.895454545
,,,,72.5,37.0059275,,,,2.213333333,,2.095833333
,,,,55.33333333,40.49173479,,,,1.789166667,,1.795833333
,,,,62.83333333,29.24747475,,,,1.93,,1.960909091
,,,,31,29.96283458,,,,2.115454545,,1.821818182
,,,,68,22.61845268,,,,1.865,,2.166363636
,,,,60.75,37.72229572,,,,1.8725,,1.996363636
,,,,34.94444444,20.32150284,,,,2.401,,2.07
,,,,53,34.1691586,,,,2.315833333,,2.509166667
,,,,25,14.31373975,,,,2.075,,1.659166667
,,,,71.5,61.93155494,,,,2.172,,2.485454545
,,,,36.5,4.936379244,,,,2.066363636,,1.869090909
,,,,53.25,51.56665346,,,,1.854444444,,1.938
,,,,41.5,36.80456705,,,,1.997777778,,1.897777778
,,,,74,40.39778714,,,,2.13625,,2.00375
,,,,26.72222222,17.46115819,,,,2.515,,2.246666667
,,,,57.66666667,27.09716566,,,,1.676363636,,1.890833333
,,,,63.5,38.82523004,,,,2.260833333,,2.371666667
,,,,55.33333333,43.04158607,,,,1.931818182,,1.910833333
,,,,37.5,13.73178793,,,,2.142857143,,2.051428571
,,,,47.38888889,57.60020246,,,,2.013,,1.947
,,,,35.77777778,13.98563716,,,,2.442727273,,2.185454545
,,,,53.33333333,21.9607084,,,,1.663636364,,1.904166667
,,,,43.61111111,67.05195144,,,,2.078888889,,1.796
,,,,62.5,28.87693495,,,,1.903,,2.178181818
,,,,48.25,39.00519481,,,,1.928333333,,2.301428571
,,,,24,17.29993756,,,,2.006666667,,2.140909091
,,,,64,,,,,,,
,,,,NA,43.51679858,,,,1.962,,1.852222222
,,,,67.25,37.86897623,,,,2.314444444,,2.1225
,,,,NA,58.11385075,,,,2.29,,2.24
,,,,32,11.13963437,,,,2.421666667,,2.274545455
,,,,47.66666667,62.99088555,,,,1.963636364,,1.876363636
,,,,54.91666667,71.29496403,,,,2.091,,1.745
,,,,63.27777778,33.34775641,,,,2.193636364,,2.26
,,,,61.25,50.56194125,,,,2.232727273,,1.766363636
,,,,53.61111111,43.25913445,,,,2.09125,,1.999
,,,,20.66666667,26.49943046,,,,2.67625,,2.283333333
,,,,27.33333333,,,,,,,
,,,,26.72222222,10.25982678,,,,1.845,,1.874
,,,,NA,31.38314295,,,,1.885555556,,1.823
,,,,61.16666667,57.95801557,,,,2.14375,,1.869
,,,,50.75,56.97777778,,,,2.1825,,1.8375
,,,,56.75,51.2455329,,,,1.856666667,,1.534
,,,,46.88888889,,,,,,,
,,,,19.83333333,41.10536002,,,,2.388181818,,1.803636364
,,,,55.83333333,,,,,,,
,,,,33.16666667,7.152625153,,,,2.165833333,,2.000833333
,,,,35.16666667,16.06600753,,,,2.184166667,,1.773333333
,,,,34.33333333,54.14232872,,,,2.136666667,,1.696
,,,,58,56.88550877,,,,1.956363636,,1.757272727
,,,,58.66666667,32.81156392,,,,1.641666667,,1.892857143
,,,,48,25.54357062,,,,2.311818182,,2.352727273
,,,,45,19.54779132,,,,1.905714286,,1.815
,,,,48.5,57.65455305,,,,2.26,,1.746666667
,,,,32,10.56751468,,,,1.905,,1.68375
,,,,18.83333333,7.52194211,,,,1.932,,2.19
,,,,47.33333333,45.49741243,,,,1.742,,1.704545455
,,,,37.5,8.081234596,,,,2.250909091,,2.209090909
,,,,56.66666667,52.01214405,,,,1.977777778,,1.882727273
,,,,26.55555556,7.439052977,,,,2.187272727,,1.904545455
,,,,27.83333333,38.2712489,,,,2.278181818,,1.877272727
,,,,53.5,46.83576281,,,,1.851,,1.646363636
,,,,25.22222222,25.03856747,,,,2.3,,2.007777778
,,,,31.16666667,9.917748918,,,,2.183636364,,2.163636364
,,,,50.5,37.04300982,,,,2.118,,2.163333333
,,,,41.72222222,49.30168351,,,,2.195,,1.7425
